WatchID	ClientIP	c	sum(IsRefresh)	avg(ResolutionWidth)
5129646157332620920	1083043348	1	0	1368
6213934825814614854	-697243704	1	0	1368
7353595233922890852	2064518685	1	0	1917
7773078491658475356	-257426215	1	0	2038
7932086078592543144	2132622635	1	0	1828
8179801785232698675	886863737	1	0	1828
8207092075960351968	1971276818	1	0	611
8417680271598674011	1982547413	1	0	1638
8979239473334866258	1972937036	1	0	1638
9131775037205138351	-1669293019	1	0	1638
