CounterID	l	c
114157	139.118230379653	216408
122612	230.684425911869	3574007
146891	74.130115350429	605286
1634	187.956269394145	323229
186300	82.059379910063	802561
188878	90.263809383393	311998
191697	85.03551145479	124664
196239	95.013986825156	163797
199550	106.891803328914	7115413
220992	103.758678484636	494614
230962	74.732234979879	169223
233773	453.162828506924	2938865
234004	198.089365624738	238660
245438	261.556164826702	2510103
249603	90.009574070226	120325
256004	121.861006722436	858171
38	73.967979597062	507770
3922	85.886401177239	8527069
515	123.966230336199	146907
62	91.942701347964	738150
77639	74.656317308563	253961
786	180.360098898181	120528
95427	116.919218500371	374306
96948	92.113460727657	396093
97467	82.762635502904	131178
