case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2686.849
cosine_w2_c0,1024,1,1024,2668.986
cosine_w2_c0,1024,2,1024,2675.049
cosine_w2_c0,1024,3,1024,2667.195
cosine_w2_c0,1024,4,1024,2694.092
cosine_w2_c0,1024,5,1024,2666.382
cosine_w2_c0,1024,6,1024,2665.567
cosine_w2_c0,1024,7,1024,2671.834
cosine_w2_c0,1024,8,1024,2713.582
cosine_w2_c0,1024,9,1024,2668.783
cosine_w2_c0,1024,10,1024,2668.823
cosine_w2_c0,1024,11,1024,2668.904
cosine_w2_c1,1024,0,1024,3335.042
cosine_w2_c1,1024,1,1024,3361.328
cosine_w2_c1,1024,2,1024,3340.251
cosine_w2_c1,1024,3,1024,3356.730
cosine_w2_c1,1024,4,1024,3467.244
cosine_w2_c1,1024,5,1024,3364.583
cosine_w2_c1,1024,6,1024,3405.354
cosine_w2_c1,1024,7,1024,3381.348
cosine_w2_c1,1024,8,1024,3347.941
cosine_w2_c1,1024,9,1024,3341.146
cosine_w2_c1,1024,10,1024,3345.215
cosine_w2_c1,1024,11,1024,3364.380
cosine_w2_c2,1024,0,1024,3100.911
cosine_w2_c2,1024,1,1024,3113.199
cosine_w2_c2,1024,2,1024,3112.021
cosine_w2_c2,1024,3,1024,3108.846
cosine_w2_c2,1024,4,1024,3114.055
cosine_w2_c2,1024,5,1024,3104.289
cosine_w2_c2,1024,6,1024,3106.486
cosine_w2_c2,1024,7,1024,3127.400
cosine_w2_c2,1024,8,1024,3103.719
cosine_w2_c2,1024,9,1024,3092.569
cosine_w2_c2,1024,10,1024,3092.529
cosine_w2_c2,1024,11,1024,3147.136
cosine_w32_c0,1024,0,256,15666.668
cosine_w32_c0,1024,1,256,15392.902
cosine_w32_c0,1024,2,256,15658.852
cosine_w32_c0,1024,3,256,15821.777
cosine_w32_c0,1024,4,256,15374.023
cosine_w32_c0,1024,5,256,15392.902
cosine_w32_c0,1024,6,256,15126.465
cosine_w32_c0,1024,7,256,15359.211
cosine_w32_c0,1024,8,256,15362.793
cosine_w32_c0,1024,9,256,15329.914
cosine_w32_c0,1024,10,256,15375.648
cosine_w32_c0,1024,11,256,15587.891
cosine_w32_c1,1024,0,128,16896.164
cosine_w32_c1,1024,1,128,16798.500
cosine_w32_c1,1024,2,128,16432.617
cosine_w32_c1,1024,3,128,16476.883
cosine_w32_c1,1024,4,128,16470.703
cosine_w32_c1,1024,5,128,16516.273
cosine_w32_c1,1024,6,128,16485.031
cosine_w32_c1,1024,7,128,16404.297
cosine_w32_c1,1024,8,128,16395.508
cosine_w32_c1,1024,9,128,16432.289
cosine_w32_c1,1024,10,128,16605.469
cosine_w32_c1,1024,11,128,16386.398
cosine_w32_c2,1024,0,128,16467.773
cosine_w32_c2,1024,1,128,16805.008
cosine_w32_c2,1024,2,128,16481.117
cosine_w32_c2,1024,3,128,16449.539
cosine_w32_c2,1024,4,128,16494.141
cosine_w32_c2,1024,5,128,16442.055
cosine_w32_c2,1024,6,128,16598.953
cosine_w32_c2,1024,7,128,16789.062
cosine_w32_c2,1024,8,128,16476.234
cosine_w32_c2,1024,9,128,16445.641
cosine_w32_c2,1024,10,128,16485.680
cosine_w32_c2,1024,11,128,16670.898
cosine_w256_c0,1024,0,16,244645.812
cosine_w256_c0,1024,1,16,244268.188
cosine_w256_c0,1024,2,16,245947.938
cosine_w256_c0,1024,3,16,244752.625
cosine_w256_c0,1024,4,16,245010.438
cosine_w256_c0,1024,5,16,248143.250
cosine_w256_c0,1024,6,16,244481.750
cosine_w256_c0,1024,7,16,246197.938
cosine_w256_c0,1024,8,16,256395.812
cosine_w256_c0,1024,9,16,245476.562
cosine_w256_c0,1024,10,16,246325.562
cosine_w256_c0,1024,11,16,248640.625
cosine_w256_c1,1024,0,16,244023.438
cosine_w256_c1,1024,1,16,243695.312
cosine_w256_c1,1024,2,16,243473.938
cosine_w256_c1,1024,3,16,245359.375
cosine_w256_c1,1024,4,16,243703.125
cosine_w256_c1,1024,5,16,248080.750
cosine_w256_c1,1024,6,16,243958.312
cosine_w256_c1,1024,7,16,245333.312
cosine_w256_c1,1024,8,16,251679.688
cosine_w256_c1,1024,9,16,244494.750
cosine_w256_c1,1024,10,16,247244.750
cosine_w256_c1,1024,11,16,245627.625
cosine_w256_c2,1024,0,16,248976.562
cosine_w256_c2,1024,1,16,257263.062
cosine_w256_c2,1024,2,16,235872.375
cosine_w256_c2,1024,3,16,237153.625
cosine_w256_c2,1024,4,16,245937.500
cosine_w256_c2,1024,5,16,237794.250
cosine_w256_c2,1024,6,16,249596.375
cosine_w256_c2,1024,7,16,250960.938
cosine_w256_c2,1024,8,16,246817.750
cosine_w256_c2,1024,9,16,250065.125
cosine_w256_c2,1024,10,16,252408.875
cosine_w256_c2,1024,11,16,248697.875
