label,case,rows,samples,median_ns,p25_ns,p75_ns
cosine-experiment,cosine_w32_c1,1024,36,11987.875,11926.270,12111.530
cosine-experiment,cosine_w32_c2,1024,36,11953.775,11789.390,12014.200
invocation,invocation_argument_storage,0,36,4.425,4.405,4.490
invocation,invocation_argument_storage,1,36,4.417,4.309,4.463
invocation,invocation_argument_storage,64,36,4.417,4.363,4.573
invocation,invocation_argument_storage,1024,36,4.468,4.390,4.566
invocation,invocation_argument_storage,16384,36,4.434,4.370,4.567
invocation,invocation_clone_drop,0,36,3.210,3.161,3.320
invocation,invocation_clone_drop,1,36,3.192,3.149,3.303
invocation,invocation_clone_drop,64,36,3.263,3.159,3.371
invocation,invocation_clone_drop,1024,36,3.249,3.168,3.363
invocation,invocation_clone_drop,16384,36,3.333,3.155,3.478
invocation,invocation_direct_collector,0,36,60.859,59.513,62.610
invocation,invocation_direct_collector,1,36,63.981,63.041,65.853
invocation,invocation_direct_collector,64,36,75.245,74.284,76.228
invocation,invocation_direct_collector,1024,36,141.070,137.972,143.740
invocation,invocation_direct_collector,16384,36,2399.699,2374.939,2474.314
invocation,invocation_direct_iterator,0,36,59.037,58.610,60.334
invocation,invocation_direct_iterator,1,36,63.012,62.778,63.999
invocation,invocation_direct_iterator,64,36,75.513,75.047,77.593
invocation,invocation_direct_iterator,1024,36,184.570,166.430,202.707
invocation,invocation_direct_iterator,16384,36,1362.579,1295.858,1493.424
invocation,invocation_fresh_args,0,36,189.582,184.902,250.283
invocation,invocation_fresh_args,1,36,199.350,197.918,203.085
invocation,invocation_fresh_args,64,36,213.745,209.783,215.493
invocation,invocation_fresh_args,1024,36,278.183,276.157,281.405
invocation,invocation_fresh_args,16384,36,2581.482,2542.938,2647.450
invocation,invocation_plan,0,36,11.389,11.300,11.567
invocation,invocation_plan,1,36,11.299,11.182,11.569
invocation,invocation_plan,64,36,11.392,11.268,11.624
invocation,invocation_plan,1024,36,11.241,11.068,11.544
invocation,invocation_plan,16384,36,11.364,11.333,11.561
invocation,invocation_rowfn,0,36,188.437,182.278,379.097
invocation,invocation_rowfn,1,36,193.981,192.919,197.123
invocation,invocation_rowfn,64,36,211.042,209.336,213.381
invocation,invocation_rowfn,1024,36,272.822,269.731,277.832
invocation,invocation_rowfn,16384,36,2569.722,2548.981,2626.678
invocation,invocation_validate,0,36,0.514,0.509,0.527
invocation,invocation_validate,1,36,0.513,0.510,0.523
invocation,invocation_validate,64,36,0.514,0.506,0.521
invocation,invocation_validate,1024,36,0.514,0.507,0.534
invocation,invocation_validate,16384,36,0.515,0.510,0.528
discard-bt0,discarded_error_construct,64,36,23.115,20.815,24.716
discard-bt0,discarded_error_outer_instrumented,64,36,686.688,664.348,762.453
discard-bt1,discarded_error_construct,64,36,10580.104,10478.015,10799.034
discard-bt1,discarded_error_outer_instrumented,64,36,11332.680,11221.271,11573.608
