case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,256,8206.867
cosine_w2_c0,1024,1,256,8148.762
cosine_w2_c0,1024,2,256,7597.168
cosine_w2_c0,1024,3,256,6564.777
cosine_w2_c0,1024,4,256,6564.453
cosine_w2_c0,1024,5,256,6589.355
cosine_w2_c0,1024,6,256,6621.746
cosine_w2_c0,1024,7,256,6130.047
cosine_w2_c0,1024,8,256,5667.156
cosine_w2_c0,1024,9,256,5666.180
cosine_w2_c0,1024,10,256,5652.020
cosine_w2_c0,1024,11,256,5668.617
cosine_w2_c1,1024,0,512,4384.197
cosine_w2_c1,1024,1,512,4382.080
cosine_w2_c1,1024,2,512,4427.979
cosine_w2_c1,1024,3,512,4001.547
cosine_w2_c1,1024,4,512,3980.795
cosine_w2_c1,1024,5,512,3730.795
cosine_w2_c1,1024,6,512,3707.031
cosine_w2_c1,1024,7,512,3707.031
cosine_w2_c1,1024,8,512,3747.721
cosine_w2_c1,1024,9,512,3556.967
cosine_w2_c1,1024,10,512,3471.436
cosine_w2_c1,1024,11,512,3355.387
cosine_w2_c2,1024,0,1024,3237.793
cosine_w2_c2,1024,1,1024,3120.158
cosine_w2_c2,1024,2,1024,3091.593
cosine_w2_c2,1024,3,1024,3064.453
cosine_w2_c2,1024,4,1024,3144.938
cosine_w2_c2,1024,5,1024,3169.067
cosine_w2_c2,1024,6,1024,3237.386
cosine_w2_c2,1024,7,1024,3151.042
cosine_w2_c2,1024,8,1024,3106.161
cosine_w2_c2,1024,9,1024,3110.229
cosine_w2_c2,1024,10,1024,3171.387
cosine_w2_c2,1024,11,1024,3095.256
cosine_w32_c0,1024,0,256,15208.824
cosine_w32_c0,1024,1,256,15663.898
cosine_w32_c0,1024,2,256,15241.699
cosine_w32_c0,1024,3,256,15354.656
cosine_w32_c0,1024,4,256,15248.371
cosine_w32_c0,1024,5,256,15287.758
cosine_w32_c0,1024,6,256,15439.777
cosine_w32_c0,1024,7,256,15423.504
cosine_w32_c0,1024,8,256,15325.359
cosine_w32_c0,1024,9,256,15534.668
cosine_w32_c0,1024,10,256,15592.449
cosine_w32_c0,1024,11,256,15265.789
cosine_w32_c1,1024,0,256,11864.258
cosine_w32_c1,1024,1,256,12012.043
cosine_w32_c1,1024,2,256,11992.676
cosine_w32_c1,1024,3,256,11996.910
cosine_w32_c1,1024,4,256,11907.062
cosine_w32_c1,1024,5,256,12262.859
cosine_w32_c1,1024,6,256,12166.832
cosine_w32_c1,1024,7,256,11926.270
cosine_w32_c1,1024,8,256,11957.195
cosine_w32_c1,1024,9,256,12117.516
cosine_w32_c1,1024,10,256,10999.348
cosine_w32_c1,1024,11,256,11596.191
cosine_w32_c2,1024,0,256,11567.707
cosine_w32_c2,1024,1,256,11681.316
cosine_w32_c2,1024,2,256,12213.703
cosine_w32_c2,1024,3,256,11714.031
cosine_w32_c2,1024,4,256,11795.246
cosine_w32_c2,1024,5,256,11810.547
cosine_w32_c2,1024,6,256,11808.105
cosine_w32_c2,1024,7,256,11810.059
cosine_w32_c2,1024,8,256,11787.922
cosine_w32_c2,1024,9,256,11970.055
cosine_w32_c2,1024,10,256,11800.129
cosine_w32_c2,1024,11,256,11789.879
cosine_w256_c0,1024,0,16,266106.750
cosine_w256_c0,1024,1,16,238796.875
cosine_w256_c0,1024,2,16,244947.875
cosine_w256_c0,1024,3,16,232054.688
cosine_w256_c0,1024,4,16,233119.750
cosine_w256_c0,1024,5,16,232804.688
cosine_w256_c0,1024,6,16,231710.938
cosine_w256_c0,1024,7,16,234075.500
cosine_w256_c0,1024,8,16,233518.188
cosine_w256_c0,1024,9,16,239205.750
cosine_w256_c0,1024,10,16,250713.500
cosine_w256_c0,1024,11,16,235182.312
cosine_w256_c1,1024,0,16,165820.312
cosine_w256_c1,1024,1,16,174057.312
cosine_w256_c1,1024,2,16,173054.688
cosine_w256_c1,1024,3,16,167526.000
cosine_w256_c1,1024,4,16,164145.812
cosine_w256_c1,1024,5,16,162546.875
cosine_w256_c1,1024,6,16,161106.750
cosine_w256_c1,1024,7,16,164645.812
cosine_w256_c1,1024,8,16,161942.688
cosine_w256_c1,1024,9,16,163882.812
cosine_w256_c1,1024,10,16,161062.500
cosine_w256_c1,1024,11,16,161856.750
cosine_w256_c2,1024,0,16,160708.312
cosine_w256_c2,1024,1,16,162007.812
cosine_w256_c2,1024,2,16,164635.438
cosine_w256_c2,1024,3,16,165234.375
cosine_w256_c2,1024,4,16,162968.750
cosine_w256_c2,1024,5,16,176830.688
cosine_w256_c2,1024,6,16,166380.188
cosine_w256_c2,1024,7,16,160656.250
cosine_w256_c2,1024,8,16,162974.000
cosine_w256_c2,1024,9,16,177041.688
cosine_w256_c2,1024,10,16,171513.000
cosine_w256_c2,1024,11,16,168265.625
