case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2735.922
cosine_w2_c0,1024,1,1024,2686.808
cosine_w2_c0,1024,2,1024,2682.780
cosine_w2_c0,1024,3,1024,2669.597
cosine_w2_c0,1024,4,1024,2687.296
cosine_w2_c0,1024,5,1024,2668.579
cosine_w2_c0,1024,6,1024,2668.497
cosine_w2_c0,1024,7,1024,2701.091
cosine_w2_c0,1024,8,1024,2668.010
cosine_w2_c0,1024,9,1024,2669.271
cosine_w2_c0,1024,10,1024,2675.700
cosine_w2_c0,1024,11,1024,2673.990
cosine_w2_c1,1024,0,1024,3442.261
cosine_w2_c1,1024,1,1024,3301.961
cosine_w2_c1,1024,2,1024,3347.046
cosine_w2_c1,1024,3,1024,3240.967
cosine_w2_c1,1024,4,1024,3414.958
cosine_w2_c1,1024,5,1024,3409.261
cosine_w2_c1,1024,6,1024,3398.601
cosine_w2_c1,1024,7,1024,3412.354
cosine_w2_c1,1024,8,1024,3424.194
cosine_w2_c1,1024,9,1024,3354.939
cosine_w2_c1,1024,10,1024,3369.548
cosine_w2_c1,1024,11,1024,3356.445
cosine_w2_c2,1024,0,1024,3095.947
cosine_w2_c2,1024,1,1024,3084.351
cosine_w2_c2,1024,2,1024,3090.617
cosine_w2_c2,1024,3,1024,3246.379
cosine_w2_c2,1024,4,1024,3091.309
cosine_w2_c2,1024,5,1024,3088.460
cosine_w2_c2,1024,6,1024,3093.669
cosine_w2_c2,1024,7,1024,3105.428
cosine_w2_c2,1024,8,1024,3080.647
cosine_w2_c2,1024,9,1024,3086.995
cosine_w2_c2,1024,10,1024,3116.008
cosine_w2_c2,1024,11,1024,3082.520
cosine_w32_c0,1024,0,256,15456.219
cosine_w32_c0,1024,1,256,15378.094
cosine_w32_c0,1024,2,256,15526.203
cosine_w32_c0,1024,3,256,15426.758
cosine_w32_c0,1024,4,256,15940.430
cosine_w32_c0,1024,5,256,16050.781
cosine_w32_c0,1024,6,256,15194.336
cosine_w32_c0,1024,7,256,15570.312
cosine_w32_c0,1024,8,256,15346.191
cosine_w32_c0,1024,9,256,15398.109
cosine_w32_c0,1024,10,256,15286.457
cosine_w32_c0,1024,11,256,15271.809
cosine_w32_c1,1024,0,128,16376.633
cosine_w32_c1,1024,1,128,16346.023
cosine_w32_c1,1024,2,128,16359.375
cosine_w32_c1,1024,3,128,17025.719
cosine_w32_c1,1024,4,128,16662.758
cosine_w32_c1,1024,5,128,16317.383
cosine_w32_c1,1024,6,128,16371.742
cosine_w32_c1,1024,7,128,16373.375
cosine_w32_c1,1024,8,128,16400.062
cosine_w32_c1,1024,9,128,16388.672
cosine_w32_c1,1024,10,128,16487.633
cosine_w32_c1,1024,11,128,16359.055
cosine_w32_c2,1024,0,128,15961.586
cosine_w32_c2,1024,1,128,14895.180
cosine_w32_c2,1024,2,128,15527.344
cosine_w32_c2,1024,3,128,15801.430
cosine_w32_c2,1024,4,128,18099.289
cosine_w32_c2,1024,5,128,15936.852
cosine_w32_c2,1024,6,128,15945.633
cosine_w32_c2,1024,7,128,16064.453
cosine_w32_c2,1024,8,128,16317.055
cosine_w32_c2,1024,9,128,16184.242
cosine_w32_c2,1024,10,128,16213.867
cosine_w32_c2,1024,11,128,16609.703
cosine_w256_c0,1024,0,16,232026.000
cosine_w256_c0,1024,1,16,231934.875
cosine_w256_c0,1024,2,16,234307.250
cosine_w256_c0,1024,3,16,231734.375
cosine_w256_c0,1024,4,16,232570.312
cosine_w256_c0,1024,5,16,234153.625
cosine_w256_c0,1024,6,16,233440.062
cosine_w256_c0,1024,7,16,233408.875
cosine_w256_c0,1024,8,16,246934.938
cosine_w256_c0,1024,9,16,231916.688
cosine_w256_c0,1024,10,16,232721.375
cosine_w256_c0,1024,11,16,237125.000
cosine_w256_c1,1024,0,16,236682.250
cosine_w256_c1,1024,1,16,237679.688
cosine_w256_c1,1024,2,16,238083.312
cosine_w256_c1,1024,3,16,240283.875
cosine_w256_c1,1024,4,16,240815.062
cosine_w256_c1,1024,5,16,237164.062
cosine_w256_c1,1024,6,16,250510.438
cosine_w256_c1,1024,7,16,236656.250
cosine_w256_c1,1024,8,16,239382.812
cosine_w256_c1,1024,9,16,236195.312
cosine_w256_c1,1024,10,16,236497.375
cosine_w256_c1,1024,11,16,237786.500
cosine_w256_c2,1024,0,16,238424.500
cosine_w256_c2,1024,1,16,239059.875
cosine_w256_c2,1024,2,16,239617.188
cosine_w256_c2,1024,3,16,241802.125
cosine_w256_c2,1024,4,16,242671.875
cosine_w256_c2,1024,5,16,238494.750
cosine_w256_c2,1024,6,16,254773.438
cosine_w256_c2,1024,7,16,241554.688
cosine_w256_c2,1024,8,16,248604.188
cosine_w256_c2,1024,9,16,238578.125
cosine_w256_c2,1024,10,16,240989.625
cosine_w256_c2,1024,11,16,241062.500
