case,rows,sample,iterations,ns
bool_dense_c0_plain,0,0,16384,245.730
bool_dense_c0_plain,0,1,16384,249.036
bool_dense_c0_plain,0,2,16384,243.640
bool_dense_c0_plain,0,3,16384,239.922
bool_dense_c0_plain,0,4,16384,241.280
bool_dense_c0_plain,0,5,16384,249.639
bool_dense_c0_plain,0,6,16384,247.907
bool_dense_c0_plain,0,7,16384,240.636
bool_dense_c0_plain,0,8,16384,241.666
bool_dense_c0_plain,0,9,16384,240.234
bool_dense_c0_plain,0,10,16384,247.284
bool_dense_c0_plain,0,11,16384,240.857
bool_dense_c0_multi,0,0,8192,238.444
bool_dense_c0_multi,0,1,8192,242.457
bool_dense_c0_multi,0,2,8192,249.339
bool_dense_c0_multi,0,3,8192,253.871
bool_dense_c0_multi,0,4,8192,241.750
bool_dense_c0_multi,0,5,8192,243.947
bool_dense_c0_multi,0,6,8192,246.643
bool_dense_c0_multi,0,7,8192,243.810
bool_dense_c0_multi,0,8,8192,247.981
bool_dense_c0_multi,0,9,8192,247.111
bool_dense_c0_multi,0,10,8192,255.854
bool_dense_c0_multi,0,11,8192,254.629
bool_dense_c1_plain,0,0,8192,397.568
bool_dense_c1_plain,0,1,8192,391.998
bool_dense_c1_plain,0,2,8192,408.213
bool_dense_c1_plain,0,3,8192,398.931
bool_dense_c1_plain,0,4,8192,400.584
bool_dense_c1_plain,0,5,8192,422.348
bool_dense_c1_plain,0,6,8192,396.062
bool_dense_c1_plain,0,7,8192,419.118
bool_dense_c1_plain,0,8,8192,397.151
bool_dense_c1_plain,0,9,8192,400.726
bool_dense_c1_plain,0,10,8192,399.272
bool_dense_c1_plain,0,11,8192,401.571
bool_dense_c1_multi,0,0,8192,413.722
bool_dense_c1_multi,0,1,8192,416.122
bool_dense_c1_multi,0,2,8192,427.002
bool_dense_c1_multi,0,3,8192,420.410
bool_dense_c1_multi,0,4,8192,405.767
bool_dense_c1_multi,0,5,8192,417.414
bool_dense_c1_multi,0,6,8192,410.573
bool_dense_c1_multi,0,7,8192,406.459
bool_dense_c1_multi,0,8,8192,411.982
bool_dense_c1_multi,0,9,8192,404.149
bool_dense_c1_multi,0,10,8192,411.001
bool_dense_c1_multi,0,11,8192,423.116
bool_dense_c2_plain,0,0,8192,407.934
bool_dense_c2_plain,0,1,8192,421.763
bool_dense_c2_plain,0,2,8192,401.545
bool_dense_c2_plain,0,3,8192,409.037
bool_dense_c2_plain,0,4,8192,420.736
bool_dense_c2_plain,0,5,8192,419.947
bool_dense_c2_plain,0,6,8192,413.712
bool_dense_c2_plain,0,7,8192,406.001
bool_dense_c2_plain,0,8,8192,411.697
bool_dense_c2_plain,0,9,8192,408.539
bool_dense_c2_plain,0,10,8192,401.774
bool_dense_c2_plain,0,11,8192,408.127
bool_dense_c2_multi,0,0,8192,408.386
bool_dense_c2_multi,0,1,8192,403.931
bool_dense_c2_multi,0,2,8192,421.697
bool_dense_c2_multi,0,3,8192,395.762
bool_dense_c2_multi,0,4,8192,396.835
bool_dense_c2_multi,0,5,8192,403.336
bool_dense_c2_multi,0,6,8192,397.959
bool_dense_c2_multi,0,7,8192,417.664
bool_dense_c2_multi,0,8,8192,397.746
bool_dense_c2_multi,0,9,8192,402.222
bool_dense_c2_multi,0,10,8192,428.121
bool_dense_c2_multi,0,11,8192,402.990
bool_partial_c0_plain,0,0,8192,467.667
bool_partial_c0_plain,0,1,8192,454.178
bool_partial_c0_plain,0,2,8192,455.892
bool_partial_c0_plain,0,3,8192,453.191
bool_partial_c0_plain,0,4,8192,451.813
bool_partial_c0_plain,0,5,8192,453.201
bool_partial_c0_plain,0,6,8192,450.877
bool_partial_c0_plain,0,7,8192,452.474
bool_partial_c0_plain,0,8,8192,450.073
bool_partial_c0_plain,0,9,8192,524.546
bool_partial_c0_plain,0,10,8192,834.244
bool_partial_c0_plain,0,11,8192,479.131
bool_partial_c0_multi,0,0,8192,453.272
bool_partial_c0_multi,0,1,8192,453.023
bool_partial_c0_multi,0,2,8192,459.925
bool_partial_c0_multi,0,3,8192,461.644
bool_partial_c0_multi,0,4,8192,452.255
bool_partial_c0_multi,0,5,8192,457.128
bool_partial_c0_multi,0,6,8192,464.172
bool_partial_c0_multi,0,7,8192,461.278
bool_partial_c0_multi,0,8,8192,467.565
bool_partial_c0_multi,0,9,8192,459.691
bool_partial_c0_multi,0,10,8192,454.768
bool_partial_c0_multi,0,11,8192,457.265
bool_partial_c1_plain,0,0,4096,611.542
bool_partial_c1_plain,0,1,4096,613.210
bool_partial_c1_plain,0,2,4096,619.487
bool_partial_c1_plain,0,3,4096,610.372
bool_partial_c1_plain,0,4,4096,617.269
bool_partial_c1_plain,0,5,4096,608.327
bool_partial_c1_plain,0,6,4096,610.331
bool_partial_c1_plain,0,7,4096,610.117
bool_partial_c1_plain,0,8,4096,615.936
bool_partial_c1_plain,0,9,4096,608.327
bool_partial_c1_plain,0,10,4096,609.212
bool_partial_c1_plain,0,11,4096,615.234
bool_partial_c1_multi,0,0,4096,612.122
