case,rows,sample,iterations,ns
cosine_w2_c0,1024,0,1024,2978.190
cosine_w2_c0,1024,1,1024,2965.942
cosine_w2_c0,1024,2,1024,2960.083
cosine_w2_c0,1024,3,1024,2924.154
cosine_w2_c0,1024,4,1024,2957.642
cosine_w2_c0,1024,5,1024,2972.005
cosine_w2_c0,1024,6,1024,3003.987
cosine_w2_c0,1024,7,1024,2923.178
cosine_w2_c0,1024,8,1024,2973.470
cosine_w2_c0,1024,9,1024,2954.224
cosine_w2_c0,1024,10,1024,2919.800
cosine_w2_c0,1024,11,1024,2925.578
cosine_w2_c1,1024,0,1024,2834.270
cosine_w2_c1,1024,1,1024,2872.273
cosine_w2_c1,1024,2,1024,2837.484
cosine_w2_c1,1024,3,1024,2972.697
cosine_w2_c1,1024,4,1024,2848.022
cosine_w2_c1,1024,5,1024,2850.790
cosine_w2_c1,1024,6,1024,2859.985
cosine_w2_c1,1024,7,1024,2905.681
cosine_w2_c1,1024,8,1024,2846.924
cosine_w2_c1,1024,9,1024,2850.993
cosine_w2_c1,1024,10,1024,2868.205
cosine_w2_c1,1024,11,1024,2851.074
cosine_w2_c2,1024,0,1024,3251.993
cosine_w2_c2,1024,1,1024,3134.399
cosine_w2_c2,1024,2,1024,2966.919
cosine_w2_c2,1024,3,1024,3058.594
cosine_w2_c2,1024,4,1024,3145.630
cosine_w2_c2,1024,5,1024,3084.065
cosine_w2_c2,1024,6,1024,3114.583
cosine_w2_c2,1024,7,1024,3078.409
cosine_w2_c2,1024,8,1024,3077.800
cosine_w2_c2,1024,9,1024,3102.173
cosine_w2_c2,1024,10,1024,3198.446
cosine_w2_c2,1024,11,1024,3082.235
cosine_w32_c0,1024,0,256,15250.164
cosine_w32_c0,1024,1,256,15337.891
cosine_w32_c0,1024,2,256,15188.637
cosine_w32_c0,1024,3,256,15230.145
cosine_w32_c0,1024,4,256,15999.188
cosine_w32_c0,1024,5,256,15384.113
cosine_w32_c0,1024,6,256,15335.125
cosine_w32_c0,1024,7,256,15653.809
cosine_w32_c0,1024,8,256,15326.824
cosine_w32_c0,1024,9,256,15431.805
cosine_w32_c0,1024,10,256,15444.176
cosine_w32_c0,1024,11,256,15400.066
cosine_w32_c1,1024,0,256,11915.203
cosine_w32_c1,1024,1,256,12008.789
cosine_w32_c1,1024,2,256,12159.020
cosine_w32_c1,1024,3,256,11926.270
cosine_w32_c1,1024,4,256,11980.145
cosine_w32_c1,1024,5,256,12109.535
cosine_w32_c1,1024,6,256,11958.824
cosine_w32_c1,1024,7,256,11993.652
cosine_w32_c1,1024,8,256,12070.473
cosine_w32_c1,1024,9,256,12317.383
cosine_w32_c1,1024,10,256,12054.199
cosine_w32_c1,1024,11,256,11923.828
cosine_w32_c2,1024,0,256,11967.285
cosine_w32_c2,1024,1,256,12068.035
cosine_w32_c2,1024,2,256,11978.355
cosine_w32_c2,1024,3,256,11985.840
cosine_w32_c2,1024,4,256,11981.609
cosine_w32_c2,1024,5,256,12493.000
cosine_w32_c2,1024,6,256,12032.387
cosine_w32_c2,1024,7,256,11984.699
cosine_w32_c2,1024,8,256,11646.484
cosine_w32_c2,1024,9,256,11484.375
cosine_w32_c2,1024,10,256,11551.434
cosine_w32_c2,1024,11,256,11675.621
cosine_w256_c0,1024,0,16,232085.938
cosine_w256_c0,1024,1,16,233731.750
cosine_w256_c0,1024,2,16,233549.500
cosine_w256_c0,1024,3,16,236567.750
cosine_w256_c0,1024,4,16,232257.812
cosine_w256_c0,1024,5,16,233500.000
cosine_w256_c0,1024,6,16,248260.375
cosine_w256_c0,1024,7,16,232674.500
cosine_w256_c0,1024,8,16,232518.188
cosine_w256_c0,1024,9,16,238010.375
cosine_w256_c0,1024,10,16,233013.062
cosine_w256_c0,1024,11,16,231635.438
cosine_w256_c1,1024,0,16,161000.000
cosine_w256_c1,1024,1,16,161098.938
cosine_w256_c1,1024,2,16,160885.438
cosine_w256_c1,1024,3,16,171247.375
cosine_w256_c1,1024,4,16,161255.188
cosine_w256_c1,1024,5,16,160882.812
cosine_w256_c1,1024,6,16,161916.688
cosine_w256_c1,1024,7,16,162625.000
cosine_w256_c1,1024,8,16,161007.812
cosine_w256_c1,1024,9,16,160869.812
cosine_w256_c1,1024,10,16,162286.438
cosine_w256_c1,1024,11,16,161713.562
cosine_w256_c2,1024,0,16,161942.688
cosine_w256_c2,1024,1,16,161283.812
cosine_w256_c2,1024,2,16,164263.062
cosine_w256_c2,1024,3,16,168447.938
cosine_w256_c2,1024,4,16,160890.625
cosine_w256_c2,1024,5,16,161760.438
cosine_w256_c2,1024,6,16,162924.438
cosine_w256_c2,1024,7,16,161729.188
cosine_w256_c2,1024,8,16,164809.938
cosine_w256_c2,1024,9,16,161598.938
cosine_w256_c2,1024,10,16,164059.875
cosine_w256_c2,1024,11,16,165856.812
