case,rows,sample,iterations,ns
discarded_error_construct,64,0,256,10724.629
discarded_error_outer_instrumented,64,0,256,11492.188
discarded_error_construct,64,1,256,11117.844
discarded_error_outer_instrumented,64,1,256,11939.453
discarded_error_construct,64,2,256,10704.281
discarded_error_outer_instrumented,64,2,256,11464.520
discarded_error_construct,64,3,256,10494.152
discarded_error_outer_instrumented,64,3,256,11236.980
discarded_error_construct,64,4,256,10392.312
discarded_error_outer_instrumented,64,4,256,11132.160
discarded_error_construct,64,5,256,10956.359
discarded_error_outer_instrumented,64,5,256,11728.680
discarded_error_construct,64,6,256,10730.145
discarded_error_outer_instrumented,64,6,256,11493.328
discarded_error_construct,64,7,256,10642.742
discarded_error_outer_instrumented,64,7,256,11400.062
discarded_error_construct,64,8,256,10711.902
discarded_error_outer_instrumented,64,8,256,11478.840
discarded_error_construct,64,9,256,10459.816
discarded_error_outer_instrumented,64,9,256,11204.914
discarded_error_construct,64,10,256,10547.352
discarded_error_outer_instrumented,64,10,256,11298.500
discarded_error_construct,64,11,256,10522.305
discarded_error_outer_instrumented,64,11,256,11276.855
