case,rows,sample,iterations,ns
utf8_decode_inline,0,0,32768,62.883
utf8_decode_inline,0,1,32768,64.908
utf8_decode_inline,0,2,32768,54.090
utf8_decode_inline,0,3,32768,55.795
utf8_decode_inline,0,4,32768,53.656
utf8_decode_inline,0,5,32768,48.037
utf8_decode_inline,0,6,32768,45.291
utf8_decode_inline,0,7,32768,45.212
utf8_decode_inline,0,8,32768,44.874
utf8_decode_inline,0,9,32768,45.127
utf8_decode_inline,0,10,32768,42.575
utf8_decode_inline,0,11,32768,38.713
utf8_decode_external,0,0,65536,35.858
utf8_decode_external,0,1,65536,33.686
utf8_decode_external,0,2,65536,30.742
utf8_decode_external,0,3,65536,30.657
utf8_decode_external,0,4,65536,30.579
utf8_decode_external,0,5,65536,30.280
utf8_decode_external,0,6,65536,27.945
utf8_decode_external,0,7,65536,27.854
utf8_decode_external,0,8,65536,26.017
utf8_decode_external,0,9,65536,25.816
utf8_decode_external,0,10,65536,25.869
utf8_decode_external,0,11,65536,25.875
utf8_decode_inline,1,0,131072,25.484
utf8_decode_inline,1,1,131072,23.594
utf8_decode_inline,1,2,131072,22.731
utf8_decode_inline,1,3,131072,22.039
utf8_decode_inline,1,4,131072,21.605
utf8_decode_inline,1,5,131072,21.306
utf8_decode_inline,1,6,131072,21.324
utf8_decode_inline,1,7,131072,21.479
utf8_decode_inline,1,8,131072,21.344
utf8_decode_inline,1,9,131072,21.317
utf8_decode_inline,1,10,131072,21.366
utf8_decode_inline,1,11,131072,21.291
utf8_decode_external,1,0,65536,34.280
utf8_decode_external,1,1,65536,34.771
utf8_decode_external,1,2,65536,33.808
utf8_decode_external,1,3,65536,33.817
utf8_decode_external,1,4,65536,33.828
utf8_decode_external,1,5,65536,33.949
utf8_decode_external,1,6,65536,33.896
utf8_decode_external,1,7,65536,34.015
utf8_decode_external,1,8,65536,33.869
utf8_decode_external,1,9,65536,35.013
utf8_decode_external,1,10,65536,36.037
utf8_decode_external,1,11,65536,34.274
utf8_decode_inline,64,0,8192,296.448
utf8_decode_inline,64,1,8192,292.781
utf8_decode_inline,64,2,8192,296.010
utf8_decode_inline,64,3,8192,292.542
utf8_decode_inline,64,4,8192,253.347
utf8_decode_inline,64,5,8192,292.007
utf8_decode_inline,64,6,8192,294.367
utf8_decode_inline,64,7,8192,293.844
utf8_decode_inline,64,8,8192,292.425
utf8_decode_inline,64,9,8192,296.519
utf8_decode_inline,64,10,8192,301.870
utf8_decode_inline,64,11,8192,267.720
utf8_decode_external,64,0,4096,595.347
utf8_decode_external,64,1,4096,593.730
utf8_decode_external,64,2,4096,599.426
utf8_decode_external,64,3,4096,591.593
utf8_decode_external,64,4,4096,590.037
utf8_decode_external,64,5,4096,588.725
utf8_decode_external,64,6,4096,594.615
utf8_decode_external,64,7,4096,592.712
utf8_decode_external,64,8,4096,583.588
utf8_decode_external,64,9,4096,583.221
utf8_decode_external,64,10,4096,580.556
utf8_decode_external,64,11,4096,579.905
utf8_decode_inline,1024,0,512,4328.613
utf8_decode_inline,1024,1,512,4333.332
utf8_decode_inline,1024,2,512,4524.822
utf8_decode_inline,1024,3,512,5010.580
utf8_decode_inline,1024,4,512,4471.111
utf8_decode_inline,1024,5,512,3514.160
utf8_decode_inline,1024,6,512,3356.934
utf8_decode_inline,1024,7,512,3385.090
utf8_decode_inline,1024,8,512,3353.354
utf8_decode_inline,1024,9,512,3313.965
utf8_decode_inline,1024,10,512,3326.822
utf8_decode_inline,1024,11,512,3314.209
utf8_decode_external,1024,0,256,8913.410
utf8_decode_external,1024,1,256,8927.086
utf8_decode_external,1024,2,256,8838.379
utf8_decode_external,1024,3,256,8840.172
utf8_decode_external,1024,4,256,8902.508
utf8_decode_external,1024,5,256,8931.316
utf8_decode_external,1024,6,256,8840.820
utf8_decode_external,1024,7,256,8903.973
utf8_decode_external,1024,8,256,8997.234
utf8_decode_external,1024,9,256,8911.133
utf8_decode_external,1024,10,256,8902.180
utf8_decode_external,1024,11,256,8902.668
utf8_decode_inline,16384,0,64,56761.719
utf8_decode_inline,16384,1,64,69632.156
utf8_decode_inline,16384,2,64,57707.031
utf8_decode_inline,16384,3,64,57193.359
utf8_decode_inline,16384,4,64,57358.078
utf8_decode_inline,16384,5,64,56949.219
utf8_decode_inline,16384,6,64,68952.469
utf8_decode_inline,16384,7,64,70249.344
utf8_decode_inline,16384,8,64,68951.828
utf8_decode_inline,16384,9,64,69219.406
utf8_decode_inline,16384,10,64,70597.000
utf8_decode_inline,16384,11,64,57978.516
utf8_decode_external,16384,0,16,143007.812
utf8_decode_external,16384,1,16,143361.938
utf8_decode_external,16384,2,16,143778.625
utf8_decode_external,16384,3,16,143002.625
utf8_decode_external,16384,4,16,143005.188
utf8_decode_external,16384,5,16,143166.688
utf8_decode_external,16384,6,16,143000.000
utf8_decode_external,16384,7,16,143010.375
utf8_decode_external,16384,8,16,142997.438
utf8_decode_external,16384,9,16,143007.812
utf8_decode_external,16384,10,16,143117.188
utf8_decode_external,16384,11,16,144783.875
