case,rows,sample,iterations,ns
discarded_error_construct,64,0,256,10357.129
discarded_error_outer_instrumented,64,0,256,11092.449
discarded_error_construct,64,1,256,10630.027
discarded_error_outer_instrumented,64,1,256,11382.324
discarded_error_construct,64,2,256,10872.262
discarded_error_outer_instrumented,64,2,256,11650.227
discarded_error_construct,64,3,256,10644.207
discarded_error_outer_instrumented,64,3,256,11404.785
discarded_error_construct,64,4,256,10533.191
discarded_error_outer_instrumented,64,4,256,11281.902
discarded_error_construct,64,5,256,10599.289
discarded_error_outer_instrumented,64,5,256,11349.449
discarded_error_construct,64,6,256,10634.113
discarded_error_outer_instrumented,64,6,256,11383.465
discarded_error_construct,64,7,256,10565.922
discarded_error_outer_instrumented,64,7,256,11314.129
discarded_error_construct,64,8,256,10867.008
discarded_error_outer_instrumented,64,8,256,11640.789
discarded_error_construct,64,9,256,10803.074
discarded_error_outer_instrumented,64,9,256,11572.102
discarded_error_construct,64,10,256,10569.508
discarded_error_outer_instrumented,64,10,256,11321.938
discarded_error_construct,64,11,256,10632.660
discarded_error_outer_instrumented,64,11,256,11387.371
