family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,after,avx512,multiversioned,64,ConstantLhs,ObservableFailure,7967.0,15460.0,8124.000000000001,8297.0
bool,after,avx512,multiversioned,64,ConstantLhs,PartialAccepted,1852.0,8177.0,1987.0,2072.0
bool,after,avx512,multiversioned,64,ConstantRhs,AllValid,987.0,4724.0,1058.0,1112.0
bool,after,avx512,multiversioned,64,ConstantRhs,NullOnlyFailure,9797.0,71180.0,10090.0,10480.0
bool,after,avx512,multiversioned,64,ConstantRhs,ObservableFailure,7914.0,15860.0,8093.999999999999,8296.0
bool,after,avx512,multiversioned,64,ConstantRhs,PartialAccepted,1775.0,4957.0,1884.0,1938.0
bool,after,avx512,multiversioned,16384,Columns,AllValid,42330.0,59300.0,50480.0,50430.0
bool,after,avx512,multiversioned,16384,Columns,NullOnlyFailure,72540.0,101800.0,80750.0,80880.0
bool,after,avx512,multiversioned,16384,Columns,ObservableFailure,49330.0,200200.0,57220.0,57440.0
bool,after,avx512,multiversioned,16384,Columns,PartialAccepted,43270.0,67730.0,50740.0,50820.0
bool,after,avx512,multiversioned,16384,ConstantLhs,AllValid,42160.0,58320.0,49440.0,49390.0
bool,after,avx512,multiversioned,16384,ConstantLhs,NullOnlyFailure,74180.0,125000.0,82070.0,82070.0
bool,after,avx512,multiversioned,16384,ConstantLhs,ObservableFailure,49170.0,68720.0,56720.0,56600.0
bool,after,avx512,multiversioned,16384,ConstantLhs,PartialAccepted,42950.0,60010.0,50170.0,50090.0
bool,after,avx512,multiversioned,16384,ConstantRhs,AllValid,43970.0,65170.0,51080.0,51230.0
bool,after,avx512,multiversioned,16384,ConstantRhs,NullOnlyFailure,77220.0,98810.0,83600.0,84200.0
bool,after,avx512,multiversioned,16384,ConstantRhs,ObservableFailure,51420.0,77280.0,58460.0,58630.0
bool,after,avx512,multiversioned,16384,ConstantRhs,PartialAccepted,43020.0,67480.0,52130.0,52080.0
bool,after,avx512,plain,64,Columns,AllValid,835.3,4610.0,885.0,920.6
bool,after,avx512,plain,64,Columns,NullOnlyFailure,9652.0,17090.0,9907.0,10160.0
bool,after,avx512,plain,64,Columns,ObservableFailure,7781.0,17250.0,7944.0,8137.0
bool,after,avx512,plain,64,Columns,PartialAccepted,1682.0,6116.0,1793.0,1842.0
bool,after,avx512,plain,64,ConstantLhs,AllValid,839.0,2555.0,880.0,906.9
bool,after,avx512,plain,64,ConstantLhs,NullOnlyFailure,9517.0,17650.0,9826.0,10070.0
bool,after,avx512,plain,64,ConstantLhs,ObservableFailure,7790.0,15940.0,7944.0,8129.0
bool,after,avx512,plain,64,ConstantLhs,PartialAccepted,1707.0,9306.0,1835.0,1920.0
bool,after,avx512,plain,64,ConstantRhs,AllValid,810.8,2613.0,855.0,881.7
bool,after,avx512,plain,64,ConstantRhs,NullOnlyFailure,9646.0,19140.0,9933.0,10210.0
bool,after,avx512,plain,64,ConstantRhs,ObservableFailure,7803.0,16020.0,7967.0,8193.0
bool,after,avx512,plain,64,ConstantRhs,PartialAccepted,1704.0,9958.0,1845.0,1918.0
bool,after,avx512,plain,16384,Columns,AllValid,4818.0,14500.0,4947.0,5633.0
bool,after,avx512,plain,16384,Columns,NullOnlyFailure,34850.0,45400.0,35900.0,36600.0
bool,after,avx512,plain,16384,Columns,ObservableFailure,11770.0,21290.0,11990.0,12800.0
bool,after,avx512,plain,16384,Columns,PartialAccepted,5617.0,16140.0,5808.0,6419.0
bool,after,avx512,plain,16384,ConstantLhs,AllValid,4163.0,12910.0,4249.0,4440.0
bool,after,avx512,plain,16384,ConstantLhs,NullOnlyFailure,35990.0,52450.0,37620.0,37930.0
bool,after,avx512,plain,16384,ConstantLhs,ObservableFailure,11100.0,20180.0,11270.0,11710.0
bool,after,avx512,plain,16384,ConstantLhs,PartialAccepted,4932.0,49420.0,5061.0,5467.0
bool,after,avx512,plain,16384,ConstantRhs,AllValid,4133.0,13720.0,4248.0,4488.0
bool,after,avx512,plain,16384,ConstantRhs,NullOnlyFailure,35730.0,47410.0,37360.0,37800.0
bool,after,avx512,plain,16384,ConstantRhs,ObservableFailure,11050.0,20540.0,11240.0,11500.0
bool,after,avx512,plain,16384,ConstantRhs,PartialAccepted,4909.0,14070.0,5071.0,5345.0
bool,after,neon,multiversioned,64,Columns,AllValid,936.6,5816.0,1032.0,1058.0
bool,after,neon,multiversioned,64,Columns,NullOnlyFailure,14030.0,24300.0,14720.0,15100.0
bool,after,neon,multiversioned,64,Columns,ObservableFailure,11980.0,27220.0,12240.0,12370.0
bool,after,neon,multiversioned,64,Columns,PartialAccepted,2058.0,5377.0,2247.0,2291.0
bool,after,neon,multiversioned,64,ConstantLhs,AllValid,864.6,2935.0,949.1,971.3
bool,after,neon,multiversioned,64,ConstantLhs,NullOnlyFailure,13960.0,22940.0,14650.0,15120.0
bool,after,neon,multiversioned,64,ConstantLhs,ObservableFailure,11910.0,18290.0,12210.0,12380.0
bool,after,neon,multiversioned,64,ConstantLhs,PartialAccepted,1772.0,4112.0,1891.0,1925.0
bool,after,neon,multiversioned,64,ConstantRhs,AllValid,841.8,2100.0,887.3,901.0
bool,after,neon,multiversioned,64,ConstantRhs,NullOnlyFailure,14110.0,26570.0,14610.0,15000.0
bool,after,neon,multiversioned,64,ConstantRhs,ObservableFailure,11910.0,17820.0,12220.0,12380.0
bool,after,neon,multiversioned,64,ConstantRhs,PartialAccepted,1961.0,13030.0,2159.0,2217.0
bool,after,neon,multiversioned,16384,Columns,AllValid,10350.0,16030.000000000002,11470.0,11460.0
bool,after,neon,multiversioned,16384,Columns,NullOnlyFailure,50150.0,106700.0,51720.0,52370.0
bool,after,neon,multiversioned,16384,Columns,ObservableFailure,21710.0,38680.0,23130.0,23240.0
bool,after,neon,multiversioned,16384,Columns,PartialAccepted,11550.0,17310.0,12550.0,12600.0
bool,after,neon,multiversioned,16384,ConstantLhs,AllValid,7065.0,12470.0,8137.0,8098.000000000001
bool,after,neon,multiversioned,16384,ConstantLhs,NullOnlyFailure,47850.0,70820.0,49160.0,49630.0
bool,after,neon,multiversioned,16384,ConstantLhs,ObservableFailure,18340.0,25250.0,19170.0,19320.0
bool,after,neon,multiversioned,16384,ConstantLhs,PartialAccepted,8061.0,13700.0,8951.0,9028.0
bool,after,neon,multiversioned,16384,ConstantRhs,AllValid,7085.0,13210.0,7942.0,7918.0
bool,after,neon,multiversioned,16384,ConstantRhs,NullOnlyFailure,47080.0,68560.0,48740.0,49330.0
bool,after,neon,multiversioned,16384,ConstantRhs,ObservableFailure,18240.0,35110.0,19010.0,19210.0
bool,after,neon,multiversioned,16384,ConstantRhs,PartialAccepted,8173.0,16700.0,8798.0,8910.0
bool,after,neon,plain,64,Columns,AllValid,895.8,2024.0,962.1,978.9
bool,after,neon,plain,64,Columns,NullOnlyFailure,14200.0,26580.0,14790.0,15220.0
bool,after,neon,plain,64,Columns,ObservableFailure,12120.0,18270.0,12400.0,12540.0
bool,after,neon,plain,64,Columns,PartialAccepted,2107.0,6398.0,2274.0,2316.0
bool,after,neon,plain,64,ConstantLhs,AllValid,868.8,2216.0,924.6,939.0
bool,after,neon,plain,64,ConstantLhs,NullOnlyFailure,14140.0,44570.0,14740.0,15230.0
